Name,Non-Artisan Perk Price,Artisan Perk Price
Ancient Fern Honey,900,1260
Ancient Flower Honey,1100,1540
Bee Balm Honey,330,462
Blue Jazz Honey,200,280
Blue Mist Honey,600,840
Cactus Flower Honey,1300,1820
Chamomile Honey,190,266
Clary Sage Honey,360,504
Crocus Honey,220,308
Fairy Duster Honey,200,280
Fairy Rose Honey,680,952
Fall Rose Honey,210,294
Fragrant Lilac Honey,180,252
Fragrant Wisteria Honey,220,308
Herbal Lavender Honey,160,224
Honeysuckle Honey,230,322
Passion Flower Honey,420,588
Pink Cat Honey,170,238
Pitcher Plant Honey,800,1120
Poppy Honey,390,546
Purple Coneflower Honey,250,350
Rafflesia Honey,26100,36540
Rapeseed Flower Honey,200,280
Rose Honey,210,294
Shaded Violet Honey,190,266
Spring Rose Honey,210,294
Summer Rose Honey,210,294
Summer Spangle Honey,280,392
Sunflower Honey,260,364
Sweet Jasmine Honey,290,406
Sweet Pea Honey,200,280
Tulip Honey,160,224
Vanilla Honey,500,700
Ylang Ylang Honey,250,350
